(80 82 01 02) 372 4  (80 82 01 02) 372 4  744 8
(e1 e3 01 02) 372 4  (e1 e3 01 02) 372 4  744 8
(63 a0 01 02) 368 4  (10 5e c8 53) 376 4  744 8
(b4 b6 01 02) 372 4  (b4 b6 01 02) 372 4  744 8
(1e b3 01 02) 404 4  (f0 d1 08 10) 340 4  744 8
(12 3f 01 02) 388 4  (c7 08 12 24) 356 4  744 8
(66 70 01 02) 376 4  (32 14 30 60) 368 4  744 8
(54 56 01 02) 372 4  (54 56 01 02) 372 4  744 8
(17 56 01 02) 368 4  (2c f6 60 c0) 376 4  744 8
(b3 e7 01 02) 400 4  (c2 d0 20 40) 348 4  748 8
(36 b1 01 02) 396 4  (95 80 18 30) 352 4  748 8
(0d 91 01 02) 404 4  (1a e1 02 04) 344 4  748 8
(c6 fb 01 02) 364 4  (f3 18 23 46) 384 4  748 8
(04 83 01 02) 372 4  (60 75 18 30) 376 4  748 8
(08 35 01 02) 340 4  (db 30 23 46) 408 4  748 8
(6b f7 01 02) 380 4  (d6 2d 02 04) 368 4  748 8
(85 ad 01 02) 388 4  (17 10 52 a4) 360 4  748 8
(16 91 01 02) 404 4  (13 06 18 30) 344 4  748 8
(1d 49 01 02) 424 4  (26 34 20 40) 324 4  748 8
(48 f6 01 02) 352 4  (f7 eb 24 48) 396 4  748 8
(5f 84 01 02) 404 4  (19 10 56 ac) 344 4  748 8
(0a a4 01 02) 360 4  (b8 20 ad 99) 388 4  748 8
(54 c8 01 02) 380 4  (a8 53 02 04) 368 4  748 8
(28 d6 01 02) 360 4  (14 6b e1 01) 388 4  748 8
(1b 26 01 02) 364 4  (cb 20 23 46) 384 4  748 8
(9c c8 01 02) 392 4  (6b 79 20 40) 356 4  748 8
(37 b0 01 02) 380 4  (8d 98 18 30) 368 4  748 8
(1d 60 01 02) 364 4  (2c 80 bd b9) 384 4  748 8
(26 3a 01 02) 388 4  (80 08 8c db) 364 4  752 8
(30 46 01 02) 340 4  (23 f9 0a 14) 412 4  752 8
(16 3b 01 02) 356 4  (8f 40 12 24) 396 4  752 8
(60 76 01 02) 352 4  (92 b4 30 60) 400 4  752 8
(6f 7b 01 02) 400 4  (02 eb 48 90) 352 4  752 8
(11 14 01 02) 348 4  (90 01 fb 35) 404 4  752 8
(50 88 01 02) 344 4  (57 64 28 50) 408 4  752 8
(23 c1 01 02) 392 4  (8c 82 04 08) 360 4  752 8
(23 e2 01 02) 384 4  (10 dd 13 26) 368 4  752 8
(53 c1 01 02) 412 4  (79 4d 10 20) 340 4  752 8
(46 ec 01 02) 388 4  (2e e6 40 80) 364 4  752 8
(51 fc 01 02) 444 4  (cd ec 08 10) 308 4  752 8
(24 8e 01 02) 388 4  (14 dc 40 80) 364 4  752 8
(1b f9 01 02) 392 4  (6c 62 04 08) 360 4  752 8
(50 b2 01 02) 376 4  (83 8d 04 08) 376 4  752 8
(40 98 01 02) 328 4  (92 a1 28 50) 424 4  752 8
(bd cb 01 02) 380 4  (18 c2 0a 14) 372 4  752 8
(36 d4 01 02) 408 4  (d8 d6 04 08) 344 4  752 8
(8d cc 01 02) 384 4  (12 c8 60 c0) 368 4  752 8
(09 a3 01 02) 396 4  (05 cd 40 80) 356 4  752 8
